Area,Gender,Reading - Number of eligible pupils,Reading - Percentage meeting the expected standard,Reading - Percentage meeting the higher standard,Writing - Number of eligible pupils,Writing - Percentage meeting the expected standard,Writing - Percentage meeting the higher standard,Maths - Number of eligible pupils,Maths - Percentage meeting the expected standard,Maths - Percentage meeting the higher standard,Science - Number of eligible pupils,Science - Percentage meeting the expected standard
Bradford,All,7792,63,12,7792,56,6,7792,65,11,7792,72
Bradford,Girls,3829,67,13,3829,62,7,3829,65,9,3829,74
Bradford,Boys ,3963,59,11,3963,50,5,3963,64,14,3963,70
Yorkshire & Humber,All,65230,66,17,65230,58,7,65230,69,15,65230,77
Yorkshire & Humber,Girls,33530,62,15,33530,52,6,33530,68,18,33530,75
Yorkshire & Humber,Boys ,31700,70,18,31700,64,9,31700,69,12,31700,79
England,All,648936,68,19,648936,60,8,648936,70,16,648804,79
England,Girls,317149,72,21,317149,66,10,317149,70,13,317086,81
England,Boys ,331787,65,17,331787,54,6,331787,71,19,331718,76
